status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk
3,32,1,1,8350,3,2,4,3,3,3,65,2,2,3,1,1,2,1,0
4,55,2,10,9350,2,2,1,1,3,1,52,1,1,1,4,2,2,1,0
3,70,0,7,9750,1,1,2,1,3,1,67,2,2,2,1,2,1,1,0
3,87,3,8,6500,2,1,4,1,3,2,75,1,2,1,4,2,1,0,0
1,42,0,7,8400,2,4,3,2,1,2,37,3,3,4,3,2,1,1,0
2,41,3,1,9450,1,4,1,3,4,1,23,1,1,3,4,2,1,0,0
1,94,3,8,5925,5,4,4,3,2,2,31,3,3,3,2,1,2,0,0
2,36,3,6,125,3,5,4,2,4,2,54,3,2,1,1,2,1,1,0
2,65,3,6,500,4,1,4,3,4,1,70,2,3,1,3,1,2,1,0
3,90,0,3,1875,2,4,1,2,3,4,51,1,1,4,3,2,1,1,0
4,91,3,9,6550,5,4,2,1,4,3,24,2,1,4,3,1,2,0,0
3,60,0,4,9975,4,2,2,3,2,1,27,2,3,2,4,2,2,1,0
4,17,2,1,2075,3,3,4,3,3,2,43,1,1,1,2,1,2,0,0
4,69,4,8,8675,2,3,1,1,1,4,72,3,3,3,4,2,2,1,0
4,29,3,10,4450,2,3,3,1,1,2,78,1,1,3,4,2,2,1,0
3,10,4,10,4475,5,2,3,1,1,3,45,1,1,2,1,2,2,0,0
3,92,3,7,2550,1,4,3,1,3,4,78,3,2,1,4,2,2,0,0
1,53,1,0,5025,5,5,1,2,1,4,39,1,2,1,1,2,2,0,0
3,34,2,5,9325,2,1,1,3,3,4,69,3,3,1,3,2,2,1,0
2,98,2,2,1275,4,5,3,3,1,4,51,1,3,3,2,1,2,0,0
4,49,3,3,3200,5,3,4,2,3,3,60,3,3,1,1,2,2,0,0
4,58,3,2,6425,4,1,3,1,4,1,40,3,3,4,3,1,1,0,0
4,57,1,5,6000,3,5,2,2,2,1,53,3,1,1,3,1,1,0,0
2,65,1,4,6075,1,4,4,2,1,2,49,2,3,3,4,1,2,0,0
3,90,1,10,2550,3,2,3,1,4,2,46,2,1,3,2,2,1,1,0
2,82,4,1,8325,5,2,2,3,4,1,19,2,3,2,4,1,1,1,0
1,65,3,5,6275,3,4,1,1,2,4,58,3,3,3,4,1,2,1,0
3,73,3,7,6125,2,3,1,2,1,4,66,3,2,4,1,2,2,0,0
2,28,4,0,300,3,2,1,3,4,4,77,1,2,4,1,1,2,1,0
1,60,4,9,7600,2,3,4,1,3,1,78,2,1,4,3,2,1,1,0
4,46,4,9,4700,3,1,2,2,3,1,34,2,1,4,1,1,1,1,0
3,73,2,4,3050,3,3,3,1,4,3,79,2,3,3,3,2,1,1,0
2,14,0,0,6400,5,5,1,1,3,3,57,3,3,4,3,2,2,0,0
1,94,2,1,4150,5,3,2,3,4,4,70,1,2,3,3,2,2,0,0
1,4,0,5,7875,4,3,1,1,1,3,48,3,1,3,2,2,1,0,0
4,63,4,9,2075,1,1,4,1,3,2,85,2,3,2,3,2,1,0,0
1,97,2,9,6075,2,2,1,3,2,2,68,2,1,4,2,2,2,0,0
1,31,0,6,7650,2,2,3,1,3,1,25,1,2,1,4,2,1,0,0
4,96,4,6,8450,3,3,2,2,4,4,26,2,2,4,1,2,2,1,0
2,72,1,8,4300,2,5,3,3,1,4,60,3,1,3,2,2,2,1,0
1,90,2,8,8025,3,4,1,1,1,3,48,3,3,2,3,1,1,0,0
3,35,3,8,7200,1,3,2,1,1,2,58,3,1,2,4,1,2,1,0
3,63,0,7,5225,1,2,4,3,4,4,69,2,3,4,4,1,1,0,0
4,42,2,2,2900,1,5,1,3,4,2,78,1,2,3,3,2,1,1,0
2,66,3,10,8650,5,5,3,2,3,3,79,1,3,3,3,1,2,0,0
4,99,1,2,3100,3,2,1,1,1,1,78,2,1,2,3,1,2,0,0
2,96,4,1,5575,3,2,1,1,1,3,66,1,3,2,3,2,1,0,0
3,25,2,9,3150,4,4,4,2,1,4,64,3,2,3,4,2,2,0,0
1,62,3,9,6700,2,3,2,3,4,1,65,2,3,3,4,2,1,0,0
4,17,4,7,2150,5,3,2,1,2,4,76,3,2,2,4,1,1,1,0
3,28,3,2,3375,4,1,3,1,2,4,63,1,1,2,3,2,1,0,0
2,50,1,3,1400,3,2,2,3,3,1,52,1,1,1,1,2,2,0,0
3,78,2,5,1075,5,2,4,3,3,2,70,3,2,2,2,1,1,1,0
2,84,4,9,4825,1,3,3,1,4,3,78,3,3,1,2,2,1,1,0
4,83,0,7,9075,4,1,4,1,4,4,67,2,2,2,4,2,1,0,0
1,20,4,10,9225,4,1,3,2,4,2,24,1,2,3,1,1,2,0,0
1,34,1,7,9600,2,4,1,2,2,2,55,1,3,2,2,2,1,0,0
3,78,2,8,4225,2,2,3,2,3,2,83,1,2,3,1,2,2,0,0
3,10,0,7,4450,4,5,1,2,3,4,59,2,1,1,2,2,2,0,0
2,61,0,4,4375,2,3,3,3,2,4,33,1,3,1,4,2,2,0,0
1,96,2,1,3900,2,4,1,3,4,2,21,2,1,3,2,1,2,1,0
4,24,3,9,5125,3,5,3,2,4,1,36,2,1,3,1,2,2,1,0
2,14,1,2,6025,1,3,3,1,3,3,78,1,2,2,2,1,1,1,0
3,97,0,0,5450,5,2,2,3,3,3,45,2,3,4,4,1,2,1,0
2,4,2,5,9375,3,2,4,1,1,1,24,1,3,4,1,2,1,0,0
4,58,2,8,625,5,2,2,1,3,1,42,1,3,4,4,1,2,0,0
4,13,2,1,3875,1,2,2,3,1,3,19,1,2,1,3,1,2,1,0
1,82,2,8,8425,4,2,4,3,3,3,51,2,1,2,1,2,1,0,0
3,45,2,4,8725,3,4,1,3,3,2,27,2,2,4,4,1,2,1,0
3,6,1,7,8800,4,2,3,1,1,4,51,2,1,3,1,1,1,1,0
1,84,3,10,4025,3,5,3,1,2,2,61,1,2,3,1,1,1,1,0
4,75,4,6,5425,1,4,4,1,2,3,59,2,1,4,2,1,1,0,0
3,48,1,3,9525,2,1,4,1,1,2,54,2,2,2,2,1,2,0,0
2,73,4,4,3525,2,4,3,1,2,1,81,3,3,3,2,1,1,1,0
3,61,2,2,8100,4,4,4,2,2,4,84,1,1,2,1,2,1,1,0
1,49,3,10,6150,4,4,2,1,3,1,70,1,1,2,2,1,2,1,0
4,9,1,2,7050,4,3,4,3,4,2,18,2,2,1,4,1,1,0,0
4,93,4,7,2375,1,4,4,3,1,4,20,3,3,2,2,2,2,1,0
4,18,4,0,4100,2,4,1,1,2,1,27,3,2,3,2,1,2,1,0
4,76,4,6,7000,3,2,3,3,4,2,74,2,1,2,4,2,1,0,0
1,72,2,10,2350,4,1,1,1,1,4,50,3,1,4,2,2,2,1,0
4,63,2,3,7125,4,4,1,2,2,2,40,2,1,2,1,2,2,0,0
3,23,2,0,6200,2,4,3,1,3,2,18,2,2,3,3,2,1,0,0
4,61,2,8,8600,4,4,2,1,2,2,30,2,2,3,3,2,1,1,0
3,84,3,5,4375,4,4,4,2,4,3,26,3,2,1,4,1,2,0,0
2,49,3,8,175,2,3,2,3,3,1,79,3,2,3,2,1,1,1,0
2,71,2,1,7675,1,1,1,3,2,2,51,1,1,4,2,2,1,0,0
3,89,0,4,4350,2,2,2,3,4,1,45,3,2,4,1,1,2,0,0
4,3,2,6,1000,5,5,2,2,1,1,35,2,2,4,2,1,1,0,0
1,23,1,4,475,3,3,2,1,3,3,57,1,1,4,4,1,1,1,0
2,56,2,4,9275,4,1,4,2,2,1,45,1,3,3,3,1,1,1,0
2,44,0,2,9625,3,4,1,1,2,2,51,3,1,3,3,2,2,1,0
2,52,3,10,575,1,3,2,1,1,4,71,2,1,4,3,2,2,1,0
2,54,0,5,9000,1,5,4,1,4,2,54,1,3,3,1,2,2,0,0
1,25,3,0,825,4,1,3,2,1,2,52,3,2,3,1,2,1,0,0
1,95,2,2,4225,3,1,4,3,4,1,76,1,3,4,4,1,2,0,0
1,35,2,5,5800,5,2,1,2,1,4,71,3,2,4,4,1,2,0,0
2,57,3,4,3525,4,3,1,2,1,1,69,2,3,2,1,2,2,0,0
2,56,4,5,3550,4,4,2,3,1,2,24,3,3,1,1,2,2,0,0
2,15,2,7,5350,4,2,2,3,4,1,29,1,1,4,4,2,1,0,0
2,39,1,3,4300,4,1,1,2,3,3,19,3,1,4,1,1,1,0,0
2,79,1,1,8225,3,1,1,1,2,4,55,1,1,4,3,2,1,0,0
1,8,3,4,750,3,4,1,3,2,4,57,3,1,2,1,2,2,0,0
4,7,0,3,6000,2,3,2,3,3,2,46,2,3,3,1,1,2,1,0
3,54,1,4,3200,4,4,1,1,1,1,31,2,3,4,3,2,2,1,0
4,76,0,10,500,2,2,4,3,2,2,54,1,2,3,4,2,1,0,0
4,61,2,6,4825,5,2,3,2,4,3,55,2,2,2,4,1,2,0,0
3,38,0,7,1225,2,5,3,2,2,4,78,2,3,4,1,1,1,1,0
2,57,1,1,6450,1,5,1,2,1,4,52,3,1,4,4,1,2,1,0
4,77,1,3,5575,5,1,2,3,2,2,54,2,3,1,3,1,2,1,0
1,55,4,2,425,2,3,1,3,3,3,71,3,2,2,2,2,2,0,0
2,55,2,9,3275,3,2,4,2,4,2,58,2,2,1,3,2,1,1,0
2,27,0,8,4025,4,5,1,1,3,2,30,3,1,1,2,1,2,1,0
2,6,3,2,2500,4,1,2,2,4,4,46,2,2,3,3,2,1,0,0
1,71,4,8,7525,4,3,1,1,2,4,63,3,3,1,4,1,2,1,0
3,80,3,2,3850,1,3,3,2,4,4,63,1,2,4,3,1,2,0,0
3,97,1,7,3175,5,3,3,3,1,4,68,3,1,3,4,1,2,1,0
1,41,3,6,2525,5,4,4,1,3,2,71,2,2,4,2,2,1,0,0
2,9,4,0,4775,5,4,4,3,1,1,77,3,3,3,4,2,2,1,0
2,16,2,9,9350,5,3,2,2,1,2,30,2,2,3,3,1,2,0,0
4,68,0,8,1500,3,2,3,2,3,3,54,2,3,1,1,1,1,1,0
1,69,1,4,7750,5,3,4,2,4,1,58,2,3,3,3,2,1,0,0
1,91,4,1,2675,3,4,2,1,1,2,30,1,3,3,3,2,1,1,0
1,34,3,5,1975,2,3,2,3,2,3,55,2,1,3,4,1,2,1,0
1,33,1,9,7925,4,5,4,2,2,1,35,1,2,4,2,1,2,0,0
4,75,2,7,6800,3,4,1,2,2,3,77,3,3,4,4,2,1,1,0
2,57,4,9,2625,1,5,3,1,1,3,70,3,2,3,4,1,2,1,0
2,24,0,3,7575,3,2,2,2,3,3,77,1,1,2,2,2,2,1,0
4,27,0,2,4175,5,2,4,3,1,2,82,3,1,2,2,1,1,0,0
2,41,4,9,1625,4,5,4,3,2,1,63,1,2,1,1,2,2,1,0
3,23,2,5,3925,3,4,3,1,3,3,83,1,3,1,3,1,1,0,0
2,54,0,0,6325,2,1,1,1,3,3,72,2,2,3,4,2,1,0,0
2,69,0,0,6675,2,5,3,2,3,2,78,2,2,1,3,1,2,0,0
3,41,4,3,8425,4,2,3,3,1,3,71,2,2,3,4,2,2,0,0
3,28,3,1,4275,4,2,1,1,4,1,33,3,3,1,3,1,2,0,0
3,28,0,0,175,5,2,3,1,2,4,74,3,1,2,1,1,2,1,0
1,85,0,7,4300,5,5,4,3,2,2,35,1,3,1,1,1,2,1,0
2,96,3,4,1500,3,4,4,2,2,1,70,1,2,3,2,1,1,1,0
2,34,0,4,3925,5,2,4,1,4,1,20,2,3,4,3,1,2,0,0
3,75,3,10,4450,2,5,1,3,2,1,63,2,1,2,1,2,1,0,0
4,70,1,4,4025,1,4,1,2,3,2,61,1,2,3,4,2,1,1,0
3,60,4,10,8375,1,4,2,3,3,1,44,1,3,3,1,2,2,0,0
3,96,2,6,9500,1,4,4,3,2,4,29,1,2,3,4,1,2,0,0
1,33,1,6,4950,1,1,3,2,1,3,62,2,3,2,1,1,1,1,0
3,5,1,6,275,1,5,4,2,3,2,35,1,3,1,1,2,2,1,0
4,46,0,0,7850,3,5,3,3,1,2,77,1,2,4,4,1,2,0,0
4,69,4,3,275,1,1,4,3,1,3,34,2,3,2,1,1,1,1,0
3,17,0,3,4700,5,3,3,3,2,2,79,1,3,2,1,2,1,1,0
4,64,2,1,900,1,3,3,3,4,1,51,1,1,3,4,2,2,1,0
3,31,2,4,225,4,5,4,1,2,4,32,2,3,2,2,2,1,0,0
2,55,3,9,2675,5,1,4,2,3,3,60,3,2,2,3,1,1,1,0
4,6,3,4,9125,1,1,3,2,1,2,19,3,1,2,4,1,2,1,0
2,90,0,1,3650,2,2,2,2,1,1,78,3,3,2,3,1,1,1,0
3,40,0,7,9600,2,3,1,1,4,1,28,2,3,3,1,2,1,1,0
4,40,3,1,1200,4,4,2,3,2,2,67,3,1,2,2,2,1,0,0
2,27,3,10,8225,1,5,4,2,2,2,67,2,1,1,3,1,2,0,0
1,81,4,10,7925,2,1,3,1,1,1,39,3,3,3,3,1,2,1,0
1,37,4,7,1425,3,4,3,1,1,4,71,3,1,4,2,2,2,1,0
1,29,2,6,8350,5,5,4,3,4,3,47,2,1,4,4,1,2,1,0
3,3,0,1,9775,1,3,1,3,2,4,56,1,2,3,1,2,1,0,0
3,33,1,2,3775,4,1,3,3,3,4,67,2,1,2,1,2,2,1,0
4,98,0,10,5175,5,4,3,3,2,4,84,2,2,3,3,1,1,1,0
3,97,2,4,250,2,1,3,3,4,4,74,3,3,2,3,1,2,0,0
1,97,0,0,4225,2,5,3,1,2,4,22,2,1,2,3,2,1,0,0
1,30,4,3,800,1,3,2,2,3,4,50,2,2,2,4,1,2,0,0
4,82,1,9,5025,2,5,2,3,2,1,67,1,1,3,3,1,1,0,0
4,38,3,2,5450,1,3,4,1,4,2,69,1,2,3,3,2,1,0,0
4,70,0,8,4650,5,5,4,2,4,4,72,3,2,2,3,2,1,0,0
3,54,1,1,3225,1,2,3,2,2,2,47,2,1,1,4,2,1,1,0
2,67,0,9,1200,1,5,4,3,2,4,69,1,3,3,4,2,1,0,0
3,12,3,4,8875,5,1,1,1,3,3,39,2,1,1,3,2,2,0,0
4,65,2,10,9625,2,2,3,3,2,4,69,3,3,1,1,1,1,0,0
1,3,3,6,6200,1,5,4,3,1,2,84,3,3,2,1,1,2,1,0
1,9,0,5,8075,4,2,4,1,4,2,75,2,3,1,1,2,1,0,0
3,30,3,7,6375,3,1,4,3,1,3,72,3,1,4,3,2,2,1,0
2,11,4,5,6025,3,1,1,3,4,1,33,2,2,4,1,2,1,0,0
1,79,1,10,2175,1,3,4,2,2,4,69,2,2,1,1,2,2,1,0
3,48,0,7,6900,4,5,2,3,3,1,34,2,1,1,2,2,2,0,0
2,75,2,2,4275,3,5,4,2,4,2,34,3,1,4,1,2,1,1,0
2,72,1,9,7550,1,2,2,1,3,1,37,3,2,2,1,1,1,0,0
2,42,1,6,4325,2,5,1,1,1,3,65,1,2,3,1,1,2,0,0
1,25,1,10,4175,1,1,3,2,4,1,56,3,2,4,4,1,2,0,0
1,31,4,4,7200,1,3,4,1,3,2,43,2,3,4,4,2,1,0,0
3,95,4,10,1725,3,3,4,1,4,3,62,2,2,3,3,2,1,0,0
1,52,2,3,7500,1,2,3,1,4,3,68,1,3,2,3,2,2,1,0
4,93,4,2,5850,5,4,1,1,3,1,49,1,1,2,1,1,2,0,0
1,31,4,4,9700,1,2,3,2,2,2,68,3,3,2,1,1,2,1,0
4,29,0,2,4075,4,1,4,3,3,3,31,2,1,4,3,1,2,0,0
4,49,1,7,8250,5,2,3,3,3,2,18,3,2,4,2,2,1,1,0
1,31,2,1,3800,4,2,1,3,2,2,25,3,3,4,3,1,2,1,0
3,58,2,2,9925,4,2,3,2,3,4,54,2,3,1,2,1,1,0,0
3,14,4,5,9150,4,3,1,1,2,4,67,3,1,1,4,1,2,0,0
2,55,2,8,5225,3,4,4,1,1,2,82,3,3,3,2,2,2,1,0
1,33,2,8,4900,1,2,2,3,2,2,78,3,3,3,3,2,1,0,0
2,24,4,6,3400,4,2,3,3,2,1,79,3,3,4,2,1,1,1,0
2,42,4,4,4425,4,2,1,2,3,2,52,3,1,2,1,2,2,1,0
3,79,4,8,6800,4,3,2,2,1,4,31,3,2,3,1,1,2,0,0
2,9,1,0,550,4,4,1,3,2,1,57,1,2,3,4,1,2,1,0
3,55,3,9,9450,3,2,3,1,3,4,74,1,2,3,4,2,1,0,0
4,30,4,0,6125,2,1,3,2,3,3,83,3,3,4,2,1,2,0,0
3,52,0,4,125,4,5,2,1,2,3,53,2,1,3,1,2,2,1,0
2,3,0,2,2050,4,1,3,3,2,4,63,3,1,4,2,1,2,1,0
3,72,2,3,1150,3,3,2,1,2,1,24,1,3,2,1,2,1,0,0
4,69,2,1,2025,5,1,1,1,4,1,54,1,1,4,3,1,2,1,0
4,49,0,9,4150,2,1,1,1,2,3,51,3,1,1,2,1,1,0,0
3,46,4,10,3025,5,1,4,3,2,4,85,2,3,4,4,2,1,0,0
1,7,4,8,2100,5,2,4,2,3,1,23,3,3,4,3,1,1,0,0
3,93,1,8,7825,1,5,1,2,1,3,70,1,2,1,1,1,1,0,0
1,95,0,9,1200,1,3,2,1,1,3,84,2,1,2,2,1,1,0,0
3,48,3,7,2775,5,1,1,1,3,3,60,2,2,2,4,2,1,0,0
3,67,1,1,8050,4,1,4,2,2,3,77,2,2,1,2,2,2,0,0
2,8,0,0,250,2,3,3,2,1,1,66,1,2,4,2,2,2,1,0
4,57,0,5,9325,2,4,2,1,1,4,55,3,3,1,1,1,1,0,0
3,73,0,0,5850,2,1,4,3,4,1,72,3,2,1,4,2,2,0,0
2,18,2,2,3125,2,2,4,3,3,2,41,2,2,2,1,2,1,0,0
2,94,1,8,1075,2,2,2,3,2,1,60,1,2,1,2,1,1,1,0
3,57,4,1,5550,3,2,2,3,1,4,82,1,1,3,2,1,1,1,0
4,41,1,0,8250,5,1,4,3,3,2,78,2,1,1,4,1,1,0,0
1,95,2,3,6525,1,3,1,1,3,4,40,3,3,4,4,1,2,1,0
4,96,0,7,900,3,2,1,1,3,2,34,3,3,2,4,1,2,0,0
4,66,2,9,7975,1,1,1,2,2,3,62,1,3,4,2,1,2,1,0
2,79,2,7,2925,1,5,3,1,2,2,70,2,3,4,2,1,1,0,0
2,41,3,3,2200,3,2,3,2,3,2,73,1,3,3,1,1,2,1,0
1,13,4,0,6200,2,2,2,2,3,1,43,2,1,4,2,1,1,1,0
4,51,2,3,8475,4,1,2,2,2,1,84,1,2,3,4,2,1,0,0
4,60,1,9,525,1,3,2,3,2,4,49,2,2,3,1,1,2,0,0
3,13,2,3,6800,1,3,2,1,2,2,19,3,1,4,1,2,1,1,0
2,93,0,4,800,3,5,2,1,2,1,73,2,1,4,1,2,1,0,0
4,38,3,5,5025,2,2,1,3,3,3,62,3,1,4,2,1,2,1,0
1,60,2,3,9650,4,1,2,3,4,1,41,1,1,1,1,1,1,0,0
1,51,3,0,4325,3,4,2,1,3,3,27,3,1,3,2,2,1,1,0
2,13,1,3,8050,5,5,3,2,3,3,42,3,2,1,3,1,2,0,0
2,67,0,9,4025,3,5,3,3,4,2,26,1,3,4,4,2,2,0,0
3,43,2,3,6400,1,4,4,2,3,3,49,3,3,3,3,1,1,1,0
3,60,4,0,1175,4,2,3,3,1,3,34,3,3,1,4,2,1,1,0
4,67,0,5,1450,5,5,3,1,4,4,50,3,3,2,4,2,1,1,0
4,66,3,3,4800,3,1,3,2,2,1,81,1,2,3,3,1,1,0,0
3,47,1,0,5425,1,2,4,2,1,3,38,3,3,4,3,1,2,0,0
3,86,2,4,2750,1,4,3,3,2,2,66,3,1,1,3,2,2,1,0
1,9,4,3,6650,1,5,1,3,4,2,73,1,3,1,1,1,2,0,0
3,35,4,10,1700,3,3,3,1,2,2,37,1,3,4,3,2,1,0,0
1,21,2,6,4675,3,4,2,3,3,2,51,1,2,4,1,2,2,1,0
2,41,4,8,625,4,3,3,2,3,3,44,1,3,4,4,2,1,1,0
1,9,3,5,7950,3,4,4,3,4,3,47,1,1,3,3,1,1,1,0
4,66,1,8,4275,4,5,2,1,2,4,74,1,1,3,2,2,2,0,0
1,45,4,2,7925,4,5,1,1,3,3,38,2,1,1,4,1,2,1,0
3,50,3,9,4700,4,5,2,3,4,1,80,2,2,1,3,1,2,1,0
2,15,3,6,4850,2,5,3,1,3,1,24,2,1,3,4,1,2,0,0
1,52,4,9,2000,2,3,1,2,4,2,80,3,1,4,4,1,2,0,0
1,49,1,0,5725,2,2,2,3,1,1,56,2,3,2,3,2,2,1,0
4,27,4,8,5550,2,3,3,1,1,3,64,1,2,2,3,2,2,1,0
1,51,4,5,4675,1,5,2,3,4,3,41,1,2,1,2,2,1,0,0
3,19,2,9,7950,4,4,1,2,2,2,20,2,3,2,4,2,2,0,0
1,52,2,4,4950,1,4,1,1,3,1,79,3,3,1,2,2,1,0,0
1,94,0,7,9575,3,1,2,3,1,4,37,3,2,4,4,2,2,0,0
1,8,4,1,3250,2,5,4,1,1,2,74,3,1,4,3,2,2,1,0
2,94,3,8,8200,1,5,2,2,2,1,31,2,2,1,1,2,1,0,0
2,13,0,8,9525,3,4,3,3,3,3,31,3,3,4,4,2,1,0,0
1,39,3,8,5875,5,1,4,2,3,1,78,2,2,2,1,2,2,0,0
3,44,1,4,4675,4,3,2,1,1,3,26,2,2,4,3,2,2,1,0
4,93,0,9,7050,2,1,1,2,2,2,36,2,3,2,2,2,2,0,0
2,51,2,2,4350,4,2,3,3,2,3,31,2,2,4,3,1,2,0,0
3,72,0,10,8200,2,3,1,2,4,4,67,1,1,1,1,1,1,0,0
2,96,1,2,4325,3,1,3,1,2,1,37,3,3,1,3,2,1,1,0
4,58,4,0,9850,3,5,2,2,3,1,26,1,2,3,3,1,2,1,0
2,47,4,9,1900,1,1,1,3,3,4,85,2,2,1,3,2,2,0,0
1,82,4,1,9200,1,4,1,1,4,3,58,2,3,4,3,1,1,0,0
1,77,2,8,9800,2,3,3,2,3,1,43,3,1,2,1,2,1,0,0
2,39,2,6,7275,2,1,1,3,3,2,40,3,1,1,3,2,1,1,0
2,2,1,1,9500,1,3,3,3,2,3,39,1,3,4,1,1,2,1,0
1,91,0,8,8650,5,5,1,3,3,1,30,3,2,4,1,2,2,1,0
3,61,3,3,8750,2,2,1,2,3,3,85,2,3,3,1,1,1,0,0
4,7,1,9,4075,5,2,3,2,2,3,18,1,1,1,4,1,1,0,0
2,85,4,3,1125,4,3,2,3,4,4,60,2,1,4,1,2,2,1,0
4,97,4,7,5475,5,5,2,3,2,1,63,2,1,1,3,2,1,0,0
4,25,3,6,9225,1,3,3,2,2,1,24,3,3,1,1,1,1,1,0
1,65,0,10,4800,1,1,3,3,2,3,20,2,1,1,3,1,1,1,0
4,81,2,2,9600,5,1,4,2,4,3,25,2,3,4,1,1,1,0,0
4,24,1,2,8025,1,2,3,3,1,1,31,3,3,2,4,2,1,1,0
1,74,4,7,850,5,4,2,3,2,3,81,1,2,1,3,1,1,1,0
1,69,1,3,3575,4,2,4,1,3,2,31,1,1,4,2,1,1,0,0
4,60,0,9,9575,2,2,3,2,1,4,81,3,3,1,4,1,1,0,0
3,100,3,4,4125,4,5,2,1,2,3,20,2,1,2,3,2,1,0,0
2,54,1,1,1375,5,3,1,2,3,3,67,3,3,4,3,2,1,0,0
2,5,0,0,6700,2,1,4,3,2,3,84,1,2,4,4,1,1,0,0
2,76,0,7,3250,1,5,1,3,3,2,65,1,3,1,2,1,2,1,0
2,95,3,1,8200,2,1,3,1,4,4,49,2,2,3,1,2,1,0,0
3,43,2,0,8725,1,1,3,1,3,4,81,1,1,3,3,2,1,0,0
1,26,2,2,8250,5,2,1,1,4,1,78,1,3,4,1,2,1,1,0
2,42,3,5,1375,1,1,1,3,2,1,84,3,3,2,4,1,1,0,0
4,22,2,0,8800,3,2,1,3,4,2,49,3,2,4,4,1,2,0,0
3,68,3,5,175,1,4,3,2,2,4,45,1,3,1,4,1,2,0,0
3,70,1,8,9250,2,1,1,3,1,1,53,2,2,1,3,2,1,1,0
1,55,0,4,7950,5,5,3,1,1,3,47,1,1,1,1,2,2,1,0
1,65,4,10,5500,3,1,3,3,4,2,65,2,3,1,2,2,2,1,0
2,37,1,9,1500,5,2,1,2,2,2,59,2,2,1,4,1,1,0,0
2,38,0,8,9225,4,4,4,3,3,4,58,3,3,1,2,2,2,1,0
2,77,3,4,5175,5,2,3,2,4,2,75,1,3,4,4,1,1,0,0
1,36,4,5,7675,5,1,4,3,3,1,47,1,3,1,1,1,2,1,0
2,84,1,10,5675,4,2,3,1,2,2,50,3,3,1,1,2,2,1,0
3,3,2,4,4875,5,1,3,2,2,2,40,1,1,1,2,1,2,1,0
1,4,0,1,5825,5,2,1,1,3,1,28,2,3,4,2,2,2,1,0
2,60,3,7,9350,1,1,4,3,4,3,43,1,1,2,1,2,2,1,0
4,77,2,5,1950,3,5,4,2,4,1,54,3,3,2,4,2,1,0,0
1,23,4,10,3300,5,4,3,2,4,2,37,2,1,1,3,1,1,1,0
1,62,2,10,1925,3,3,3,3,4,1,47,1,1,1,3,1,2,0,0
3,100,4,6,2225,2,1,1,2,1,1,81,2,3,3,2,2,1,1,0
3,10,4,8,6650,5,2,1,3,1,3,65,2,3,1,1,2,1,0,0
2,34,0,8,8375,2,5,3,2,4,1,31,1,3,1,1,2,1,1,0
3,69,3,5,9500,3,2,2,1,1,1,32,3,3,4,3,2,2,0,0
2,23,0,5,4825,2,1,1,3,2,3,71,3,3,1,4,2,2,1,0
