Delivery_ID,Delivery_Start_Date,Delivery_Start_Time,Traffic_Conditions,Number_of_Packages,Customer_Preference_for_Delivery_Time,Distance_(miles),fog,rain,snow,hail,Historical_Delivery_Time_(hours)
70.0,2022-10-10,13:49:00,High,10.0,Afternoon,207.55183812369899,Low,High,High,None,13.847020132536231
71.0,2021-05-12,22:07:00,Moderate,4.0,Afternoon,167.27856629391923,None,Low,None,None,6.247929414752501
72.0,2022-05-25,07:13:00,Low,1.0,Afternoon,25.115012234101556,High,Mid,None,None,2.6418953615027827
73.0,2023-01-11,15:26:00,Low,2.0,Morning,170.1338003644314,None,None,High,Mid,11.19802844845729
74.0,2023-05-12,18:20:00,High,5.0,Evening,122.13933493272849,High,None,None,None,5.151363053487587
75.0,2020-06-10,20:11:00,Moderate,4.0,Morning,67.56482148856568,None,None,None,None,2.5452957656619883
76.0,2020-12-16,06:44:00,Low,9.0,Afternoon,24.653355357772952,Low,Mid,Low,None,5.608847252939418
77.0,2020-05-19,22:26:00,Low,13.0,Afternoon,76.78119125976065,None,None,None,None,4.215094041509511
78.0,2023-07-12,16:21:00,Low,8.0,Afternoon,122.11003078183938,Mid,Low,None,None,6.981022106434355
79.0,2021-03-09,12:26:00,High,13.0,Afternoon,107.14993581933365,None,High,None,None,9.915235960161864
80.0,2020-10-04,12:39:00,Moderate,14.0,Afternoon,69.64499222358651,None,Low,None,None,5.630087032414676
81.0,2021-04-10,08:52:00,Low,15.0,Evening,61.981181674338984,None,Mid,Mid,None,7.603642782896314
82.0,2020-04-26,21:05:00,Moderate,17.0,Afternoon,178.3976050992412,Mid,None,None,None,11.319475130044822
83.0,2020-10-05,12:08:00,High,6.0,Evening,153.02216723958742,Low,Mid,Mid,None,7.264646950753427
84.0,2022-08-20,20:35:00,Low,8.0,Evening,113.74900644471057,None,None,None,None,6.287662584760603
85.0,2023-08-17,21:35:00,Low,14.0,Afternoon,161.466665729618,Low,High,None,Low,11.822189421826106
86.0,2020-06-27,13:48:00,Low,9.0,Afternoon,128.17620290091685,Mid,None,None,High,10.751856479698864
87.0,2020-07-25,13:13:00,Moderate,17.0,Afternoon,183.8676208449054,None,Low,None,None,9.123088032583501
88.0,2021-06-01,23:44:00,Moderate,10.0,Evening,139.7936642598736,Low,None,Mid,None,6.907310693602505
89.0,2021-02-12,04:23:00,Moderate,11.0,Afternoon,72.97205706423635,Low,None,None,None,6.029907742877632
90.0,2023-04-12,22:21:00,Low,11.0,Evening,91.64829586360582,Mid,None,None,Mid,5.890217399284578
91.0,2023-12-16,22:20:00,Low,18.0,Evening,111.40359611064238,Mid,None,None,Mid,11.242992375281927
92.0,2021-11-23,04:41:00,High,11.0,Afternoon,141.46282798929894,Mid,None,None,Low,12.849260949516802
93.0,2021-02-01,05:50:00,Low,18.0,Evening,80.22867416942643,None,None,Mid,None,7.043513556527056
94.0,2023-12-20,18:00:00,Moderate,11.0,Evening,140.555640497939,None,None,High,None,7.849231478965985
95.0,2022-01-26,23:05:00,Low,15.0,Afternoon,124.09600437112985,None,None,None,Low,5.449845934427764
96.0,2020-10-09,19:49:00,Moderate,20.0,Afternoon,132.96589726084673,High,None,None,None,12.057726629101943
97.0,2023-10-16,18:26:00,High,16.0,Evening,11.660594881848965,None,None,High,None,6.590103491503129
98.0,2023-03-16,10:53:00,Low,6.0,Afternoon,111.01458455687879,Low,None,None,None,3.981059945768918
99.0,2022-03-13,07:51:00,High,7.0,Morning,123.10915964674838,Low,Low,High,None,7.602658977033437
100.0,2020-04-04,06:04:00,High,10.0,Morning,82.63031110652108,None,None,Low,None,5.724214927919707
101.0,2020-05-07,03:52:00,High,11.0,Morning,131.8241545675645,None,None,None,None,5.49820052990123
102.0,2022-03-27,04:31:00,Moderate,20.0,Evening,133.24892626937245,Low,None,None,None,10.601291440585262
103.0,2021-04-11,13:54:00,Low,6.0,Evening,147.17652281787213,None,None,None,Mid,6.768307163977833
104.0,2022-05-16,19:27:00,Moderate,18.0,Evening,118.43944901187709,None,None,None,None,5.405680753360085
105.0,2023-05-08,00:58:00,Low,18.0,Evening,96.48862223193174,None,None,Low,None,7.548555822661343
106.0,2023-10-21,20:25:00,Low,15.0,Evening,102.07782712568284,None,Low,None,None,5.293529382393992
107.0,2022-05-18,03:35:00,High,13.0,Morning,125.92658271561974,Low,Low,Low,Low,12.353760503783217
108.0,2021-05-28,09:50:00,Moderate,4.0,Evening,150.5254257867395,Low,None,Low,Low,8.273079542620133
109.0,2023-04-02,13:22:00,Moderate,9.0,Afternoon,145.62579627705696,Low,Low,High,None,6.77751410302835
110.0,2022-10-15,11:45:00,Low,13.0,Morning,82.68740140366238,None,None,None,None,5.259766017510269
111.0,2023-04-06,01:11:00,Low,5.0,Afternoon,62.972435777343925,None,None,None,None,2.851162463921424
112.0,2022-08-20,22:35:00,Moderate,7.0,Morning,74.75991718175567,None,None,None,None,4.688620736406204
113.0,2022-03-12,23:39:00,Low,14.0,Afternoon,86.01221553449523,None,None,None,None,5.244694313845694
114.0,2022-01-28,23:26:00,High,9.0,Morning,104.76847525130775,None,Mid,High,None,8.722086368949869
115.0,2020-03-08,12:05:00,High,12.0,Morning,149.4372189944936,None,Low,None,None,8.989001977288645
116.0,2020-07-08,04:35:00,High,5.0,Morning,156.99285935442424,None,High,None,None,10.958669548586721
117.0,2022-10-03,11:38:00,Low,10.0,Evening,90.46910944494468,None,None,None,High,8.479478239310984
118.0,2020-01-28,19:51:00,Moderate,20.0,Afternoon,123.58133541930985,None,None,None,High,13.595484571174046
119.0,2021-06-14,19:04:00,High,18.0,Evening,121.93187651752494,None,High,None,None,12.272619984391238
120.0,2021-02-28,16:02:00,Low,7.0,Morning,175.8722942932495,Low,None,Mid,Low,10.644212278951343
121.0,2020-12-13,23:53:00,Low,18.0,Morning,109.6055738299958,None,None,Mid,None,9.454743943014707
122.0,2021-05-17,00:59:00,Low,8.0,Morning,124.73797490049382,None,None,None,None,3.685538350695024
123.0,2020-09-20,07:28:00,Moderate,19.0,Evening,45.19417897047528,Low,High,None,None,6.3209505112872
124.0,2023-04-13,09:25:00,Low,13.0,Morning,163.4449492959752,None,Low,High,None,6.126760598743338
125.0,2022-08-13,05:11:00,Moderate,2.0,Afternoon,163.249499484938,None,None,Mid,Mid,8.101235761923709
126.0,2023-07-18,19:51:00,Low,1.0,Afternoon,71.3625420879412,Mid,None,None,Low,4.026298965380619
127.0,2022-08-19,06:25:00,High,16.0,Afternoon,193.2023787697014,Mid,Low,None,Mid,13.405392035995925
128.0,2020-12-11,17:37:00,Moderate,3.0,Evening,195.23533846939387,Low,None,None,None,10.69359126470509
129.0,2020-04-05,19:15:00,Low,2.0,Morning,108.87204367511114,Mid,None,None,None,3.7386591738998587
130.0,2020-08-10,05:29:00,High,4.0,Afternoon,252.1833317389007,None,Low,None,None,7.6903418579964296
131.0,2022-04-17,14:57:00,Moderate,14.0,Afternoon,127.12813998389773,None,Low,None,None,6.69369290682828
132.0,2022-08-26,10:07:00,Moderate,18.0,Evening,136.75356762774342,None,None,Low,High,13.30977797305094
133.0,2020-04-04,14:31:00,Low,6.0,Afternoon,37.03794389596628,None,None,None,None,2.2571924002517525
134.0,2020-10-13,06:32:00,High,1.0,Evening,112.97942845792889,None,Low,None,Low,7.937494865938211
135.0,2020-08-26,16:46:00,Moderate,1.0,Morning,58.121831449802,None,None,None,None,2.410716944964521
136.0,2023-06-02,13:26:00,High,6.0,Morning,111.23435377124588,None,None,None,None,5.775763812339105
137.0,2022-06-04,02:53:00,High,14.0,Afternoon,121.3822591967441,None,Mid,None,None,8.006435809421566
138.0,2023-09-08,08:10:00,High,15.0,Afternoon,117.40407029267448,None,None,Low,None,7.082678337215102
139.0,2021-03-24,13:56:00,High,4.0,Morning,151.2622735252984,Mid,None,None,None,5.426794815171822
140.0,2020-12-14,18:34:00,High,7.0,Evening,164.44522161477937,None,Mid,None,None,8.346205686679056
141.0,2022-03-04,07:36:00,Moderate,9.0,Morning,101.20362257906223,None,Low,Mid,None,5.0587646780246605
142.0,2020-12-07,05:52:00,Moderate,7.0,Afternoon,134.37298228175834,None,High,Mid,None,10.981022925936449
143.0,2022-07-17,17:18:00,Low,19.0,Afternoon,177.68258910447958,None,None,None,None,6.766120408835954
144.0,2021-05-24,14:30:00,High,7.0,Afternoon,139.5460529258059,None,Low,None,None,9.463528311840527
145.0,2021-12-12,04:19:00,Moderate,7.0,Morning,86.04888995780487,High,None,None,Mid,7.194103332340168
146.0,2023-05-17,00:21:00,Low,15.0,Evening,211.48669915270676,None,Low,None,None,8.192671237675565
147.0,2021-07-24,19:38:00,Low,5.0,Morning,164.63804780902473,None,Low,High,None,10.781257643149093
148.0,2022-05-03,19:46:00,Moderate,6.0,Evening,96.05353438242628,None,None,Mid,Low,6.191075980877168
149.0,2021-01-23,00:45:00,Low,9.0,Afternoon,161.69564873391315,None,None,None,None,8.556220930528474
150.0,2021-11-23,09:55:00,High,7.0,Morning,157.81637616860291,Mid,None,None,None,9.3736568382684
151.0,2021-06-22,18:46:00,Moderate,11.0,Evening,60.63398404172288,None,Low,None,None,5.5983631025365055
152.0,2022-12-14,19:35:00,High,9.0,Evening,128.79389048923187,Mid,High,None,None,8.794251333380364
153.0,2022-03-20,17:54:00,Low,20.0,Evening,239.9084684546726,None,None,Low,None,11.987641382449146
154.0,2021-05-11,11:54:00,Moderate,13.0,Morning,138.01760854452183,None,None,None,None,8.656397769781197
155.0,2021-11-18,18:27:00,Low,11.0,Afternoon,161.00096934222978,None,None,None,None,9.585705563190375
156.0,2020-05-11,03:10:00,Low,1.0,Afternoon,92.81711727773262,None,Mid,Low,Mid,4.354110789693783
157.0,2022-05-16,03:16:00,High,10.0,Evening,128.07564327981714,Mid,Mid,None,None,10.212035564589977
158.0,2021-04-28,22:31:00,Low,9.0,Morning,70.54616645703933,Low,None,Low,None,5.016531017206807
159.0,2021-02-13,18:43:00,Moderate,18.0,Evening,110.31619707139069,None,None,None,None,8.2297819241954
160.0,2021-04-27,00:05:00,High,17.0,Evening,140.0575813062259,Mid,Low,None,None,12.647243164405246
161.0,2021-08-01,09:59:00,Moderate,18.0,Evening,83.45066327377373,None,Low,Mid,Low,7.339857935394673
162.0,2022-08-15,01:19:00,High,20.0,Afternoon,134.1061035353752,None,Low,High,None,14.167445680698336
163.0,2022-03-25,13:47:00,Moderate,20.0,Afternoon,98.47191221457634,Low,None,High,None,9.06051870481367
164.0,2020-05-11,07:10:00,Low,1.0,Evening,132.24165561328175,Mid,None,None,None,5.411713467563397
165.0,2023-07-04,22:33:00,High,4.0,Afternoon,136.2570210354986,None,Low,None,None,8.115430898802664
166.0,2021-08-03,05:08:00,Moderate,9.0,Morning,90.9689400022161,Low,Mid,None,None,5.2686985427995285
167.0,2022-03-24,19:29:00,Moderate,10.0,Afternoon,178.8460887958394,None,Mid,None,None,7.091940462234079
168.0,2020-06-26,20:13:00,Low,6.0,Afternoon,177.77441508140942,None,None,None,None,5.7225336470137185
169.0,2023-04-10,10:45:00,Moderate,14.0,Evening,131.74920921186944,High,None,None,None,7.734690071013457
170.0,2023-10-04,00:52:00,Moderate,3.0,Evening,85.49811689426387,None,None,None,High,6.555139272977478
171.0,2021-11-11,07:39:00,High,1.0,Morning,118.86772536338015,None,None,None,Low,5.9899034210736515
172.0,2023-07-16,12:23:00,Low,7.0,Morning,116.21008692680127,Mid,Low,None,None,7.328403945841437
173.0,2020-02-13,19:17:00,Low,8.0,Morning,67.97031148899438,None,None,None,None,3.1138446196284333
174.0,2022-02-02,02:44:00,High,10.0,Morning,94.10509035337253,None,None,None,None,5.549045284948041
175.0,2020-04-23,07:53:00,Moderate,18.0,Evening,153.6410441887553,High,None,Mid,None,9.234913646981822
176.0,2021-11-19,08:31:00,High,13.0,Morning,137.30690347912682,None,High,None,High,14.116110699374962
177.0,2022-08-06,22:42:00,Moderate,1.0,Morning,195.96862106044335,None,None,None,None,7.392042236822125
178.0,2021-12-17,04:40:00,Low,17.0,Afternoon,71.27296679998926,Low,None,None,None,4.820885898961895
179.0,2020-08-08,17:58:00,High,4.0,Afternoon,37.701749009814066,Low,None,None,None,3.787723277229351
180.0,2023-04-24,14:43:00,Low,16.0,Afternoon,95.86791235979587,None,None,None,None,5.176466893537016
181.0,2021-04-01,16:30:00,Moderate,1.0,Evening,97.41627053937113,None,None,None,None,4.314856577171399
182.0,2022-04-27,08:33:00,Low,1.0,Evening,166.95263475487624,Mid,None,None,None,6.579610085504691
183.0,2022-10-28,12:19:00,Low,11.0,Afternoon,167.6823889760516,None,None,None,None,7.96531526618614
184.0,2021-07-17,10:39:00,High,2.0,Afternoon,154.1192187007708,Low,None,None,None,6.5434404831181725
185.0,2020-03-12,04:03:00,High,5.0,Evening,140.99772055541183,None,None,None,None,8.480741516530568
186.0,2023-10-16,10:13:00,High,18.0,Morning,151.92445701094704,Low,None,None,None,12.66135383021382
187.0,2023-06-08,08:32:00,Low,20.0,Morning,129.81130236409507,None,Mid,None,None,6.3498681960422685
188.0,2020-05-09,16:04:00,High,12.0,Morning,83.2428783817848,None,None,Mid,Low,5.273893005781502
189.0,2020-10-05,20:38:00,Moderate,13.0,Evening,118.84856959526914,Mid,None,None,None,6.120374956297929
190.0,2020-10-06,10:27:00,High,19.0,Morning,62.50943833923947,Low,None,Mid,None,10.066886827916447
191.0,2022-01-01,02:18:00,Low,3.0,Evening,98.11829092181468,None,None,Low,None,3.9978038596283496
192.0,2022-12-27,00:38:00,High,8.0,Afternoon,101.41293799295937,Mid,None,None,None,7.39722302768289
193.0,2021-04-17,05:21:00,Moderate,15.0,Afternoon,186.78307813017125,Low,None,High,None,9.26853730723859
194.0,2023-10-28,07:55:00,Low,3.0,Morning,185.501994032314,Low,Low,Low,Mid,7.942314314260347
195.0,2021-11-22,22:34:00,Moderate,3.0,Morning,128.94632784393417,High,None,None,Mid,9.394904741914546
196.0,2023-02-25,13:03:00,Moderate,16.0,Morning,125.21069994075228,Mid,None,None,None,8.343995503539546
197.0,2020-12-15,09:03:00,High,8.0,Evening,110.94562438523488,None,Mid,None,None,10.94359571092164
198.0,2020-10-12,02:34:00,Low,5.0,Morning,106.63234767388347,Low,None,None,None,4.242128502586201
199.0,2020-02-19,07:41:00,High,2.0,Morning,119.21878373942327,None,None,None,Low,4.895117337442133
200.0,2020-08-06,10:29:00,Low,1.0,Afternoon,120.15751736289026,None,None,Mid,None,5.867858491481256
201.0,2021-01-11,03:17:00,High,16.0,Evening,243.1145601752411,None,None,None,None,11.577113682686687
202.0,2020-10-28,20:50:00,Moderate,18.0,Afternoon,145.59874909106247,None,Mid,None,None,6.344195835782487
203.0,2022-05-11,20:23:00,Moderate,20.0,Evening,175.60440695851094,Mid,Mid,None,None,12.110480323109677
204.0,2023-01-23,21:09:00,Moderate,16.0,Afternoon,61.53025333470112,High,None,Low,None,5.790945798440378
205.0,2020-02-11,17:37:00,Moderate,5.0,Afternoon,129.78503878564453,None,None,None,None,6.093758687307449
206.0,2021-03-09,07:33:00,High,14.0,Afternoon,137.8161702564735,None,None,None,None,7.3941696532461165
207.0,2023-06-24,14:48:00,Low,16.0,Evening,21.008257054385766,None,None,None,High,4.695767567441275
208.0,2020-07-03,09:14:00,Moderate,20.0,Morning,165.9151581055303,None,Low,None,None,11.237717204182834
209.0,2021-10-21,07:06:00,High,11.0,Morning,219.9434503745114,None,None,None,None,9.032955273788023
210.0,2022-11-20,20:41:00,Low,19.0,Afternoon,109.94607647689607,Low,Mid,Low,None,11.384496236537387
211.0,2021-03-20,08:09:00,Moderate,12.0,Morning,148.45131985454586,None,None,High,None,6.643233157297958
212.0,2022-08-08,18:58:00,High,16.0,Evening,186.93945708190427,None,None,None,None,11.548379349710698
213.0,2020-01-06,22:13:00,Low,13.0,Afternoon,136.69231688184556,None,None,Low,None,8.042486575700712
214.0,2020-06-23,08:43:00,Moderate,9.0,Morning,120.55101316125919,Low,Low,None,Low,9.840213224842838
215.0,2020-06-23,13:57:00,Moderate,7.0,Evening,55.10503032151175,None,None,None,None,3.165113596216822
216.0,2020-09-22,03:02:00,High,4.0,Morning,112.08143006875235,Low,None,Low,None,5.437627244359757
217.0,2020-02-25,21:27:00,High,7.0,Afternoon,107.31742592464431,None,None,None,None,4.9456673497204005
218.0,2020-06-14,00:28:00,Low,2.0,Evening,197.04306088108183,None,Mid,None,None,4.655485312876738
219.0,2022-03-10,01:30:00,High,17.0,Morning,0.5,None,None,High,Mid,7.088979054947996
220.0,2020-05-27,20:21:00,Moderate,1.0,Evening,71.13831619531578,Low,Mid,None,None,4.678642617240462
221.0,2020-09-14,23:52:00,Moderate,6.0,Evening,156.76029166778977,None,Low,Low,None,6.085703881185349
222.0,2021-04-03,07:17:00,High,13.0,Morning,134.96223578492277,None,None,None,Low,9.117419269223202
223.0,2023-01-08,20:40:00,Moderate,20.0,Afternoon,104.36672507336134,None,Mid,None,None,6.197015960798869
224.0,2021-04-26,22:29:00,Low,11.0,Afternoon,101.17420710100119,None,Mid,None,None,6.280659750962302
225.0,2022-01-05,10:24:00,High,2.0,Morning,154.53429773061694,None,Low,None,None,9.875270508283945
226.0,2021-10-25,01:05:00,Low,8.0,Morning,233.7543507912491,Low,None,None,None,7.691260476132086
227.0,2023-10-04,10:54:00,Moderate,2.0,Morning,218.52231782680582,Low,None,None,None,11.109572306749468
228.0,2022-05-24,02:17:00,High,12.0,Afternoon,73.20161161620072,None,None,Mid,Low,6.522925895858808
229.0,2023-07-15,16:06:00,Moderate,16.0,Afternoon,151.30156340016427,None,None,None,Mid,12.26704650125195
230.0,2021-06-22,05:58:00,High,10.0,Evening,94.66267665392715,None,None,Low,Low,9.63513910283905
231.0,2023-02-19,13:17:00,Moderate,17.0,Morning,143.59107938594053,Low,None,None,None,11.378036680634608
232.0,2023-03-03,14:10:00,Moderate,1.0,Afternoon,107.98459198226621,None,Mid,None,None,5.190650060609073
233.0,2020-06-27,08:27:00,Low,3.0,Afternoon,187.2750143433897,None,None,Mid,None,5.794684822186042
234.0,2021-05-21,19:15:00,Low,5.0,Evening,150.25086247039263,Low,Mid,None,None,5.479243953173662
235.0,2021-05-06,16:10:00,High,13.0,Evening,129.91797293716354,None,Mid,Mid,None,8.749070621964899
236.0,2023-04-17,02:35:00,High,1.0,Afternoon,104.44321796877577,Low,Mid,None,None,7.217721765009779
237.0,2021-06-22,00:57:00,Moderate,5.0,Evening,93.13475822948973,None,None,None,Low,4.7677981299731
238.0,2021-11-04,11:15:00,Low,13.0,Evening,59.84622780522693,Mid,None,Low,None,5.699172899670288
239.0,2022-08-21,07:52:00,Low,16.0,Evening,150.37339518319914,None,Mid,None,None,7.810891390943155
240.0,2020-08-02,05:37:00,High,7.0,Afternoon,92.85417403729855,None,None,Low,None,6.97100061222424
241.0,2020-12-10,05:37:00,Moderate,11.0,Morning,91.51819841815305,High,Low,High,Low,13.157350324148108
242.0,2020-06-28,21:07:00,High,2.0,Evening,227.49312278920706,None,Mid,None,None,6.971415294014397
243.0,2020-01-09,22:29:00,Moderate,19.0,Afternoon,128.51768504906406,None,None,None,None,10.337550227131473
244.0,2022-05-09,06:55:00,High,11.0,Afternoon,39.36307756094172,None,None,None,Low,6.516050226754743
245.0,2020-08-26,05:02:00,Moderate,7.0,Afternoon,189.11461460127276,None,Low,None,None,5.823598754638287
246.0,2020-03-26,07:56:00,High,9.0,Evening,94.96085192950042,None,Mid,None,None,4.993933759745526
247.0,2023-02-15,02:44:00,High,6.0,Evening,86.10718613405734,None,High,Low,None,8.34406567462313
248.0,2020-04-26,09:01:00,Low,4.0,Afternoon,126.04074967029037,None,None,None,None,3.87437093799173
249.0,2021-09-18,20:38:00,Moderate,1.0,Afternoon,67.57465620110104,None,Mid,None,None,4.550865356597486
250.0,2023-12-03,16:33:00,Low,2.0,Afternoon,146.3317151426877,None,None,Low,None,8.08220781217014
251.0,2021-11-25,01:20:00,Moderate,11.0,Morning,124.13266816837182,Low,Mid,None,High,9.490258202774227
252.0,2021-07-24,11:17:00,Moderate,6.0,Evening,142.8976195742926,None,None,None,None,6.265179513577393
