id,answer,source,focus_area
10,"Lewy bodies are unusual deposits or clumps of the brain protein alpha-synuclein, along with other proteins, which are seen upon microscopic examination of the brain. Many brain cells of people with Parkinson's disease contain Lewy bodies. Researchers do not yet know why Lewy bodies form or what role they play in the development of Parkinson's disease. The clumps may prevent the cell from functioning normally, or they may actually be helpful, perhaps by keeping harmful proteins ""locked up"" so that the cells can function.",NIHSeniorHealth,Parkinson's Disease
11,"There are currently no blood or laboratory tests to diagnose sporadic Parkinson's disease. Diagnosis is based on a person's medical history and a neurological examination, but the disease can be difficult to diagnose accurately. Doctors may sometimes request brain scans or laboratory tests in order to rule out other diseases. However, computed tomography (CT) and magnetic resonance imaging (MRI) brain scans of people with Parkinson's usually appear normal. Recently, the FDA (Food and Drug Administration) has approved an imaging technique called DaTscan, which may help to increase accuracy of the diagnosis of Parkinsons disease. Since many other diseases have similar features but require different treatments, it is very important to make an exact diagnosis as soon as possible to ensure proper treatment.",NIHSeniorHealth,Parkinson's Disease
12,"The first step in treating urinary incontinence is to see a health care provider. He or she will give you a physical exam and take your medical history. The provider will ask about your symptoms and the medicines you use. He or she will want to know if you have been sick recently or have had surgery. Your provider also may do a number of tests. These might include - urine tests  - tests that measure how well you empty your bladderusually by ultrasound. urine tests tests that measure how well you empty your bladderusually by ultrasound. In addition, your health care provider may ask you to keep a daily diary of when you urinate and when you leak urine. Your family provider may also send you to a urologist or urogynecologist, doctors who specialize in urinary tract problems Get tips on choosing a health care provider. (Watch the video above to learn more about what to expect when seeking care for a bladder problem. To enlarge the video, click the brackets in the lower right-hand corner. To reduce the video, press the Escape (Esc) button on your keyboard.)",NIHSeniorHealth,Urinary Incontinence
13,"National Eye Institute  National Institutes of Health  2020 Vision Place  Bethesda, MD 20892-3655  301-496-5248  E-mail: 2020@nei.nih.gov  www.nei.nih.gov For more information about intraocular lenses, or IOLs, contact:  U.S. Food and Drug Administration  10903 New Hampshire Avenue  Silver Spring, MD 20993-0002  1-888-463-6332  E-mail: webmail@oc.fda.gov",NIHSeniorHealth,Cataract
14,"Shingles is a painful rash that develops on one side of the face or body. The rash forms blisters that typically scab over in 7 to 10 days and clear up within 2 to 4 weeks. Most commonly, the rash occurs in a single stripe around either the left or the right side of the body. In other cases, the rash occurs on one side of the face. In rare cases (usually among people with weakened immune systems), the rash may be more widespread and look similar to a chickenpox rash. Shingles is very common. Fifty percent of all Americans will have had shingles by the time they are 80. While shingles occurs in people of all ages, it is most common in 60- to 80-year-olds. In fact, one out of every three people 60 years or older will get shingles. (Watch the video to learn more about shingles. To enlarge the video, click the brackets in the lower right-hand corner. To reduce the video, press the Escape (Esc) button on your keyboard.) What Causes Shingles? Shingles is caused by a reactivation of the chickenpox virus. It is distinctive because it affects only one side of the body. The early signs of shingles usually develop in three stages: severe pain or tingling, possibly itchy rash, and blisters that look like chickenpox. The virus that causes shingles is a herpes virus, (Another name for shingles is herpes zoster.) Once you are infected with this kind of virus, it remains in your body for life. It stays inactive until a period when your immunity is down. Shingles and Pain The most common complication of shingles is pain -- a condition called post-herpetic neuralgia (PHN). People with PHN have severe pain in the areas where they had the shingles rash, even after the rash clears up. In most patients, the pain usually clears up in a few weeks or months, but some people can have pain from PHN for years. Persistent pain from shingles is a common symptom in people over 60. In fact, one out of six people older than 60 years who get shingles will have severe pain. As people get older, they are more likely to develop long-term pain as a complication of shingles and the pain is likely to be more severe. Other Complications Shingles may also lead to other serious complications. - Outbreaks that start on the face or eyes can cause vision or hearing problems. Even permanent blindness can result if the cornea of the eye is affected.  -  Bacterial infection of the open sores can lead to scarring.  Outbreaks that start on the face or eyes can cause vision or hearing problems. Even permanent blindness can result if the cornea of the eye is affected. Bacterial infection of the open sores can lead to scarring. - In a very small number of cases, bacteria can cause more serious conditions, including toxic shock syndrome and necrotizing fasciitis, a severe infection that destroys the soft tissue under the skin.  - The burning waves of pain, loss of sleep, and interference with even basic life activities can cause serious depression.  - In patients with immune deficiency, the rash can be much more extensive than usual and the illness can be complicated by pneumonia. These cases are more serious, but they are rarely fatal.  - Very rarely, shingles can also lead to pneumonia, brain inflammation (encephalitis), or death.  In a very small number of cases, bacteria can cause more serious conditions, including toxic shock syndrome and necrotizing fasciitis, a severe infection that destroys the soft tissue under the skin. The burning waves of pain, loss of sleep, and interference with even basic life activities can cause serious depression. In patients with immune deficiency, the rash can be much more extensive than usual and the illness can be complicated by pneumonia. These cases are more serious, but they are rarely fatal. Very rarely, shingles can also lead to pneumonia, brain inflammation (encephalitis), or death. Shingles Usually Does Not Return People who develop shingles usually have only one episode in their lifetime. However, a person can have a second or even a third episode. The Shingles Vaccine Adults 60 years old or older should talk to their healthcare professional about getting a one-time dose of the shingles vaccine. The vaccine can reduce your risk of shingles and the long-term pain it can cause. If you have already had shingles or you have a chronic medical condition, you can receive the shingles vaccine. (See more about the shingles vaccine in the chapter Prevention.) Is Shingles Contagious? Shingles cannot be passed from one person to another. However, the virus that causes shingles, the varicella zoster virus, can be spread from a person with active shingles to another person who has never had chickenpox. In such cases, the person exposed to the virus might develop chickenpox, but they would not develop shingles. The virus is spread through direct contact with fluid from the rash blisters caused by shingles. A person with active shingles can spread the virus when the rash is in the blister phase. A person is not infectious before the blisters appear. Once the rash has developed crusts, the person is no longer contagious. Shingles is less contagious than chickenpox and the risk of a person with shingles spreading the virus is low if the rash is covered. If You Have Shingles If you have shingles, - keep the rash covered  - avoid touching or scratching the rash  - wash your hands often to prevent the spread of varicella zoster virus.  keep the rash covered avoid touching or scratching the rash wash your hands often to prevent the spread of varicella zoster virus. Until your rash has developed crusts, avoid contact with - pregnant women who have never had chickenpox or the chickenpox vaccine  - premature or low birth weight infants  - people with weakened immune systems, such as people receiving immunosuppressive medications or undergoing chemotherapy, organ transplant recipients, and people with human immunodeficiency virus (HIV) infection. pregnant women who have never had chickenpox or the chickenpox vaccine premature or low birth weight infants people with weakened immune systems, such as people receiving immunosuppressive medications or undergoing chemotherapy, organ transplant recipients, and people with human immunodeficiency virus (HIV) infection. If you have not had chickenpox and you come into contact with someone who has shingles, ask your healthcare provider whether you should get a chickenpox vaccination.  To learn more, see ""What You Need to Know about Shingles and the Shingles Vaccine.""",NIHSeniorHealth,Shingles
15,"Blood Flow to the Heart Is Blocked The heart works 24 hours a day, pumping oxygen and nutrient-rich blood to the body. Blood is supplied to the heart through its coronary arteries. If a blood clot suddenly blocks a coronary artery, it cuts off most or all blood supply to the heart, and a heart attack results. If blood flow isn't restored quickly, the section of heart muscle begins to die. The more time that passes without treatment to restore blood flow, the greater the damage to the heart. Affects Both Men and Women Heart attacks are a leading killer of both men and women in the United States. Each year, more than one million people in the U.S. have a heart attack and about half of them die. Half of those who die do so within one hour of the start of symptoms and before reaching the hospital. The good news is that excellent treatments are available for heart attacks. These treatments can save lives and prevent disabilities. Prompt Treatment Is Important Heart attack treatment works best when it's given right after symptoms occur. Prompt treatment of a heart attack can help prevent or limit damage to the heart and prevent sudden death. Call 9-1-1 Right Away A heart attack is an emergency. Call 9-1-1 for an ambulance right away -- within 5 minutes -- if you think you or someone else may be having a heart attack. You also should call for help if your chest pain doesn't go away as it usually does when you take medicine prescribed for angina (chest pain). Do not drive to the hospital or let someone else drive you. Emergency personnel in the ambulance can begin life-saving treatment on the way to the emergency room. They carry drugs and equipment that can help your medical condition, including - oxygen   - aspirin to prevent further blood clotting   - heart medications, such as nitroglycerin   - pain relief treatments  - defibrillators that can restart the heart if it stops beating.  oxygen aspirin to prevent further blood clotting heart medications, such as nitroglycerin pain relief treatments defibrillators that can restart the heart if it stops beating. If blood flow in the blocked artery can be restored quickly, permanent heart damage may be prevented. Yet, many people do not seek medical care for 2 hours or more after symptoms start.",NIHSeniorHealth,Heart Attack
16,"What Happens During Screening? Checking for cancer in a person who does not have any symptoms is called screening. Screening can help diagnose skin problems before they have a chance to become cancerous. A doctor, usually a dermatologist, screens for skin cancer by performing a total-body skin examination. During a skin exam, the dermatologist or other health care professional looks for changes in the skin that could be skin cancer, and checks moles, birth marks, or pigmentation for the ABCD signs of melanoma. He or she is looking for abnormal size, color, shape, or texture of moles, and irregular patches of skin. Screening examinations are very likely to detect large numbers of benign skin conditions, which are very common in older people. Even experienced doctors have difficulty distinguishing between benign skin irregularities and early carcinomas or melanomas. To reduce the possibility of misdiagnosis, you might want to get a second opinion from another health professional. Self-Examinations You can also perform self-examinations to check for early signs of melanoma. Make sure to have someone else check your back and other hard to see areas. Do not attempt to shave off or cauterize (destroy with heat) any suspicious areas of skin. Risk Tool The National Cancer Institute developed a Melanoma Risk Tool which can help patients and their doctors determine their risk. The tool can be found at http://www.cancer.gov/melanomarisktool/. Performing a Biopsy In order to diagnose whether or not there is skin cancer, a mole or small piece of abnormal skin is usually removed. Then, a doctor will study the suspicious cells under a microscope or perform other tests on the skin sample. This procedure is called a biopsy. It is the only sure way to diagnose skin cancer. You may have the biopsy in a doctor's office or as an outpatient in a clinic or hospital. Where it is done depends on the size and place of the abnormal area on your skin. You may have local anesthesia, which means that you can be awake for the procedure. If Cancer Is Found If the biopsy shows you have cancer, tests might be done to find out if cancer cells have spread within the skin or to other parts of the body. Often the cancer cells spread to nearby tissues and then to the lymph nodes. Has the Cancer Spread? Lymph nodes are an important part of the body's immune system. Lymph nodes are masses of lymphatic tissue surrounded by connective tissue. Lymph nodes play a role in immune defense by filtering lymphatic fluid and storing white blood cells. Often in the case of melanomas, a surgeon performs a lymph node test by injecting either a radioactive substance or a blue dye (or both) near the skin tumor. Next, the surgeon uses a scanner to find the lymph nodes containing the radioactive substance or stained with the dye. The surgeon might then remove the nodes to check for the presence of cancer cells. If the doctor suspects that the tumor may have spread, the doctor might also use computed axial tomography (CAT scan or CT scan), or magnetic resonance imaging (MRI) to try to locate tumors in other parts of the body.",NIHSeniorHealth,Skin Cancer
17,"Squamous cell carcinoma develops in the squamous cells of the epidermis, the outer layer of the skin. It is much less common than basal cell carcinoma and is rarely life-threatening. Squamous cell carcinoma occurs most often on parts of the body that have been exposed to the sun, such as the face, ears, neck, hands and legs. However, it can be found on any part of the body.",NIHSeniorHealth,Skin Cancer
18,"Currently, no medication can cure Alzheimers disease, but four medicines are approved to treat the symptoms of the disease. - Aricept (donezepil)for all stages of Alzheimers  - Exelon (rivastigmine)for mild to moderate Alzheimers  - Razadyne (galantamine)--for mild to moderate Alzheimers  - Namenda (memantine)for moderate to severe Alzheimers  -  Namzarec (memantine and donepezil)for moderate to severe Alzheimers Aricept (donezepil)for all stages of Alzheimers Exelon (rivastigmine)for mild to moderate Alzheimers Razadyne (galantamine)--for mild to moderate Alzheimers Namenda (memantine)for moderate to severe Alzheimers Namzarec (memantine and donepezil)for moderate to severe Alzheimers These medications can help slow down memory loss and allow people with Alzheimers to be more comfortable and independent for a longer time. If appropriate, the persons doctor may prescribe a medicine to treat behavior problems such as anxiety, depression, and aggression. Medicines to treat these behavior problems should be used only after other strategies have been tried. Talk with the doctor about which medicines are safest and most effective.",NIHSeniorHealth,Alzheimer's Caregiving
19,"National Eye Institute  National Institutes of Health  2020 Vision Place  Bethesda, MD 20892-3655  301-496-5248  E-mail: 2020@nei.nih.gov  www.nei.nih.gov",NIHSeniorHealth,Dry Eye
20,"Treatments may include deep cleaning, medications, surgery, and bone and tissue grafts.",NIHSeniorHealth,Gum (Periodontal) Disease
21,Lifestyle changes to treat heart failure may include - reducing salt and fluid intake  - following a heart healthy diet  - adopting a plan to lose weight  - quitting smoking   - engaging in physical activity. reducing salt and fluid intake following a heart healthy diet adopting a plan to lose weight quitting smoking engaging in physical activity.,NIHSeniorHealth,Heart Failure
22,"Key Points
                    - Gallbladder cancer is a disease in which malignant (cancer) cells form in the tissues of the gallbladder.    - Being female can increase the risk of developing gallbladder cancer.     - Signs and symptoms of gallbladder cancer include jaundice, fever, and pain.     - Gallbladder cancer is difficult to detect (find) and diagnose early.     - Tests that examine the gallbladder and nearby organs are used to detect (find), diagnose, and stage gallbladder cancer.     - Certain factors affect the prognosis (chance of recovery) and treatment options.
                
                
                    Gallbladder cancer is a disease in which malignant (cancer) cells form in the tissues of the gallbladder.
                    Gallbladder cancer is a rare disease in which malignant (cancer) cells are found in the tissues of the gallbladder. The gallbladder is a pear-shaped organ that lies just under the liver in the upper abdomen. The gallbladder stores bile, a fluid made by the liver to digest fat. When food is being broken down in the stomach and intestines, bile is released from the gallbladder through a tube called the common bile duct, which connects the gallbladder and liver to the first part of the small intestine.      The wall of the gallbladder has 3 main layers of tissue.          -  Mucosal (inner) layer.    - Muscularis (middle, muscle) layer.     -  Serosal (outer) layer.        Between these layers is supporting connective tissue. Primary gallbladder cancer starts in the inner layer and spreads through the outer layers as it grows.
                
                
                    Gallbladder cancer is difficult to detect (find) and diagnose early.
                    Gallbladder cancer is difficult to detect and diagnose for the following reasons:         - There are no signs or symptoms in the early stages of gallbladder cancer.    - The symptoms of gallbladder cancer, when present, are like the symptoms of many other illnesses.    - The gallbladder is hidden behind the liver.         Gallbladder cancer is sometimes found when the gallbladder is removed for other reasons. Patients with gallstones rarely develop gallbladder cancer.",CancerGov,Gallbladder Cancer
